                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4588,                  4.684,                 3.8949,                0.43693,                  0.053,                0.01456,                0.00494,                 3.4017,                 3.8684,                  3.016,             0.00020686,             0.00020686,             0.00020686
                      2,                 2.5573,                 2.5183,                 2.5168,                0.42539,                0.55928,                 0.5983,                0.30047,                 1.7778,                 1.8049,                 2.0179,             0.00041108,             0.00041108,             0.00041108
                      3,                 1.6383,                 1.4813,                 1.8282,                0.77916,                0.79253,                0.84913,                0.55152,                 1.2902,                 1.0791,                 1.6338,             0.00061118,             0.00061118,             0.00061118
                      4,                  1.327,                 1.0836,                 1.5431,                0.86229,                0.86469,                0.88712,                0.62685,                 1.0693,                0.81215,                 1.4315,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.1639,                0.90557,                 1.3767,                0.86308,                0.85643,                0.89154,                0.64456,                 1.0375,                 0.7589,                 1.3318,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.0707,                0.81738,                 1.2853,                0.87337,                0.88831,                0.89376,                0.67705,                0.89959,                0.65616,                 1.2285,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.0303,                0.76357,                 1.2205,                0.97117,                0.88927,                0.91961,                 0.6995,                0.87957,                0.59056,                 1.1733,             0.00058787,             0.00058787,             0.00058787
                      8,                0.99159,                0.71689,                 1.1749,                0.95079,                0.93479,                0.94028,                0.70442,                0.88724,                0.58027,                 1.1241,             0.00058169,             0.00058169,             0.00058169
                      9,                0.97157,                0.67747,                 1.1405,                0.95593,                0.93496,                0.95845,                0.69609,                0.93693,                0.58031,                 1.1144,              0.0005755,              0.0005755,              0.0005755
                     10,                0.95919,                0.65372,                 1.1227,                0.95394,                0.94855,                0.96305,                0.70247,                0.95388,                0.53242,                 1.1099,             0.00056931,             0.00056931,             0.00056931
                     11,                 0.9359,                0.63177,                 1.0992,                0.94022,                0.95207,                0.96412,                 0.7411,                0.83878,                0.51721,                 1.0507,             0.00056313,             0.00056313,             0.00056313
                     12,                0.90672,                0.60719,                 1.0704,                0.94074,                0.95576,                0.96485,                0.75592,                0.77808,                0.51386,                 1.0179,             0.00055694,             0.00055694,             0.00055694
                     13,                0.89497,                0.59109,                  1.058,                0.95001,                0.96398,                0.97232,                0.73963,                 0.8556,                0.49047,                 1.0249,             0.00055075,             0.00055075,             0.00055075
                     14,                0.88262,                0.56923,                 1.0458,                0.94123,                0.96239,                0.97024,                0.76695,                0.77519,                0.47809,                 0.9946,             0.00054456,             0.00054456,             0.00054456
                     15,                0.86679,                0.55756,                 1.0334,                0.95713,                0.96647,                0.97256,                0.76129,                0.78979,                 0.4516,                0.99137,             0.00053838,             0.00053838,             0.00053838
